note,type,value,exactMatch,partialMatch,matchValue,typeMatch
religious figure,per,mother,,,,False
,misc,Christian Secret of a Happy Life,,,,False
scholar,per,Barrett Wendell,,,,False
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Tuesday, Nov. 10, 1903",,,,False
cultural heritage institution,loc,Museum,,,,False
art described by region,misc,Italian pictures,,partial,Italian,True
art collector ,per,Mrs. Gardner,,,,False
cultural ,misc,the “Opening” of the Germanic Museum,,,,False
cultural heritage institution,loc,Germanic Museum,,,,False
scholar,per,William James,,,,False
art described by region,misc,German art,,,,False
public figure,per,Karl Schurze,,,,False
artist-writer,per,Shakspeare,,,,False
proper noun adjective,misc,German,,,,False
professor,per,Prof. Norton,,,,False
banker,per,James Loeb,,,,False
artist-sculptor,per,a poor little Jew scultpor,,,,False
family unit,org,the Perrys en famille,,partial,Perry,False
artist-painter,per,Mrs. Whitman,,partial,Whitman,True
family unit,org,The Perry Girls,,partial,Perry,False
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Wednesday, Nov. 11, 1903",,,,False
cultural heritage institution,loc,Museum,,,,False
public figure,per,Mr. Loeb,,,,False
proper noun adjective,misc,Philistine,,,,False
,per,Bernhard's,,,,False
award,misc,Poetry Prize,,,,False
country,loc,Panama,,,,False
historic,misc,Tammany Victory,,,,False
,per,B. B.,,,,False
,per,Miss Reed,,,,False
,per,Gertrude,,,,False
,per,Mrs. Morss,,,,False
,per,Bernhard,,,,False
,per,Mrs. Pringsheim,,,,False
religious figure,per,Mrs. Longyear,,,,False
religious beliefs / practices,misc,[Christian Science],,,,False
proper noun adjective,misc,Francisian,,,,False
,per,B. B.,,,,False
religious,misc,Christian Science meeting,,,,False
,per,Bernhard,,,,False
religious figure,per,Mrs Longyear,,,,False
,per,her son,,,,False
,per,Miss Leslie Hopkinson,,partial,Leslie,True
city,loc,Cambridge,,,,False
,per,the Fletcheres [Mr. Fletcher],,,,False
,per,the Fletcheres [Mrs. Fletcher],,,,False
scholar,per,the Weir Smyths [Mr. Weir Smyth],,,,False
,per,the Weir Smyths [Mrs. Smyth],,,,False
banker,per,Mr. Baker,,,,False
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Thursday, Nov. 12, 1903",,,,False
,per,Rachel,,,,False
cultural heritage institution,loc,Museum,,,,False
public figure / artist-painter,per,Mr. Denman Ross,,,,False
art collection,misc,the early Chinese paintings,,,,False
,date,XI-XII century,,,,False
artist-painter,per,Ririomon,,,,False
?,misc,Japanese things,,,,False
sculpture,misc,Chinese figure,,,,False
?,misc,Japanese thing,,,,False
public figure / artist-painter,per,Mr. Ross,,,,False
art described by region,misc,Eastern Art,,,,False
art described by region,misc,Italian Art,,partial,Italian,True
painting,misc,[Veronese picture],,,,False
"art style, period, or movement",misc,Veronese,,,,False
art described by region,misc,Italian Art,,partial,Italian,True
,per,Bernhard,,,,False
,per,Fox,,,,False
city,loc,Litchfield,,,,False
city,loc,Boston,exact,,Boston,True
scholar,per,the Barrett Wendells [Mr. Wendell],,,,False
,per,the Barrett Wendells [Mrs. Wendell],,,,False
,per,Robinsons [Mrs. Robinson],,,,False
curator,per,Robinsons [Mr. Robinson],,,,False
architect,per,Mr. and Mrs. Sturgis [Mr. Sturgis],,,,False
,per,Mr. and Mrs. Sturgis [Mrs. Sturgis],,,,False
,per,Mr. and Mrs. Bowllkes [Mr. Bowlkes],,,,False
,per,Mr. and Mrs. Bowllkes [Mrs. Bowlkes],,,,False
,per,daughter of Richardson the archaeologist,,,,False
archaeologist,per,Richardson the archaeologist,,,,False
religious beliefs / practices,misc,Christian Science principles,,,,False
religious figure,per,Bishop of Massachusetts,,,,False
country,loc,England,exact,,England,False
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Friday, Nov. 13, 1903",,,,False
cultural heritage institution,loc,Museum,,,,False
,per,Bernhard,,,,False
public figure,per,Mr. Sam Warren,,,,False
public figure,per,Mr. Cabot,,,,False
neighborhood,loc,downtown,,,,False
cultural heritage institution,loc,Museum,,,,False
,per,Gertrude,,,,False
architect,per,Mr. Fox,,,,False
artist-writer,per,Mrs. Sprague,,,,False
painting,misc,Hogarth’s Selbstporträt,,,,False
artist-painter,per,Hogarth,,,,False
,per,Mrs. Henry Higginson,,,,False
public figure,per,Mrs. Agassiz,,,,False
cultural heritage institution,loc,Symphony,,,,False
,per,Miss Norton,,,,False
professor / artist-writer,per,C. E. Norton,,,,False
,per,Mrs. Roger,,,,False
described by nationality,org,the Italians,,partial,Italian,False
public figure,per,Mr. Dorr,,,,False
public figure,per,[Admiral Crowninshield],,,,False
artist-writer,per,Mrs. Crowninshield,,,,False
religious figure,per,[Mr. Peabody],,,,False
,per,Mrs. Peabody,,,,False
accomodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Saturday, Nov. 14, 1903",,,,False
cultural heritage institution,loc,Museum,,,,False
city,loc,Cambridge,,,,False
art collector,per,Mrs. Gardner,,,,False
cultural heritage institution,loc,Fenway Court,,,,False
color,misc,Bardini blue,,,,False
cultural heritage institution,loc,[Bardini Museum],,,,False
art collector,per,[Bardini],,,,False
art historian,per,Bernhard,,,,False
art collector,per,her,,,,False
painting,misc,"a Chigi ""Tintoretto""",,,,False
artist-painter,per,[(a Domenico)],,,,False
painting,misc,The little Mantegna,,,,False
artist-painter,per,Mantegna,,,,False
architect,per,Potter,,,,False
painting,misc,Passari Tura Circumcision,,,,False
artist-painter,per,Tura,,,,False
painting,misc,the great Chigi Botticelli,,,,False
artist-painter,per,Botticelli,,,,False
painting,misc,"that poor school piece, a Nativity and Shepherds",,,,False
artist-painter,per,Botticelli,,,,False
historic,per,Duca di Brindisi,,,,False
residence,loc,Palazzo Antinori,,,,False
city,loc,Florence,exact,,Florence,True
,date,[1901],,,,False
art collector,per,Horne,,,,False
art historian,per,B.B.,,,,False
art historian,per,Bernhard,,,,False
,per,Mrs. Gardner,,,,False
gift,misc,Chinese bracelet,,,,False
art collector,per,she,,,,False
artist-musician,per,Mr. Proctor,,,,False
cultural hertiage institution,loc,the Symphony,,,,False
architect,per,Mr. Fox,,,,False
accomodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Sunday, Nov. 15, 1903",,,,False
scholar,per,Miss Grace Norton,,,,False
cultural heritage institution,loc,Fogg Museum,,,,False
public figure,per,Mr. Loeb,,,,False
art collector / artist-painter,per,Fairfax Murray,,,,False
cultural ,misc,Forman Sale,,,,False
art collector / bibliographer,per,Forman,,,,False
art collector,per,Murray,,,,False
public figure,per,Mr. Loeb,,,,False
art collector,per,Murray,,,,False
art historian,per,Bernhard,,,,False
art historian,per,Mr. Edward Forbes,,,,False
painting,misc,[painting by Niccolò d’Alunno],,,,False
artist-painter,per,Niccolò d’Alunno,,,,False
city,loc,Siena,,,,False
painting,misc,[painting by Girolamo di Benvenuto],,,,False
artist-painter,per,Girolamo di Benvenuto,,,,False
city,loc,Rome,,,,False
painting,misc,[painting by fra Diamante],,,,False
artist-painter,per,fra Diamante,,,,False
artist-painter,per,[actual artist of Saint Jerome in the Desert...],,,,False
city,loc,Florence,exact,,Florence,True
artist-painter,per,Antoniazzo,,,,False
sculpture,misc,Antoniazzo tabernacolo,,,,False
curator,per,Mr. Moore,,,,False
artist-painter,per,Antoniazzo,,,,False
artist-painter,per,Filippino,,,,False
artist-painter,per,Correggio,,,,False
painting,misc,[painting by Correggio],,,,False
artist-painter,per,Fr. Santacroce,,,,False
painting,misc,[painting by Fr. Santacroce],,,,False
artist-painter,per,Rondinelli,,,,False
painting,misc,[painting by Rondinelli],,,,False
artist-painter,per,Bellini,,,,False
art collector,per,Mrs. Gardner,,,,False
banker / public figure,per,Mr. Loeb,,,,False
accommodation,loc,Green Hill,exact,,Green Hill,False
,per,Mr. Dwight,,,,False
,per,Mr. Bowlker,,,,False
,per,Mrs. Robinson,,,,False
,per,Mrs. Tyler,,,,False
,per,Gertrude,,,,False
neighborhood,loc,Dorchester,exact,,Dorchester,True
,per,Leon Eiges,,,,False
art historian,per,Bernhard,,,,False
accomodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Monday, Nov. 16, 1903",,,,False
religious figure,per,Little Rabbi Fleischer,,,,False
cultural heritage institution,loc,Fenway Court,,,,False
art collector,per,Mrs. Gardner,,,,False
,per,Mrs. Perry,,partial,Perry,False
art historian,per,Bernhard,,,,False
,per,Mason Hodg___,,,,False
,per,E______,,,,False
artist-painter,per,Tarbell,,,,False
,per,Dove,,,,False
,per,Peabody,,,,False
,per,Phillip Hale,,,,False
,per,Ware,,,,False
,per,Slater,,,,False
,per,Dietrich,,,,False
public figure,per,Higginson,,,,False
,per,[James],,,,False
,per,Russell,,,,False
,per,[Cabot],,,,False
,per,[Hale],,,,False
,per,Bigelow,,,,False
artist-writer,per,Mollie Osgood,,,,False
artist-writer,per,the nice young Englishman,,,,False
,per,[Perry Girl #1],,partial,Perry,False
,per,[Perry Girl #2],,partial,Perry,False
city,loc,Brookline,exact,,Brookline,False
art historian,per,Bernhard,,,,False
artist-musician,per,Helen Hopekirk Wilson,,,,False
,per,her husband,,,,False
artist-composer,per,Debussy,,,,False
,misc,[piece by Debussy],,,,False
artist-composer,per,César Franck,,,,False
,misc,[piece by César Franck],,,,False
artist-composer,per,Bach,exact,,Bach,True
,misc,[piece by Bach],,partial,Bach,False
accomodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Tuesday, Nov. 17, 1903",,,,False
art collection,misc,the Greek Bronzes,,partial,Greek,True
curator,per,Mr. Robinson,,,,False
art described by region,misc,Italian Art,,partial,Italian,True
social reformer,per,Gertrude Hitz,,,,False
public figure,per,Alfred Burton,,,,False
school,loc,Institute of Technology,,,,False
cultural heritage institution,loc,Fenway Court,,,,False
art collector,per,Mrs. Gardner,,,,False
art historical debate,misc,Powell-Carew Holbein dispute,,,,False
artist-painter,per,Holbein,,,,False
artist-musician,per,Clayton Johns,,,,False
,per,Mr. Swift,,,,False
artist-musician,per,[Mr. Adamowski],,,,False
,per,Mrs. Adamowski,,,,False
,per,Mr. William Blake,,,,False
,per,Gladys,,,,False
,per,Mrs. Baldwin,,,,False
,per,her mother,,,,False
artist-musician,per,Clayton Johns,,,,False
art collector,per,Mrs. Gardner,,,,False
club,org,Thursday Evening Club,,,,False
public figure,per,[Mr. Longyear],,,,False
religious figure,per,Mrs. Longyear,,,,False
religious beliefs / practices,misc,Christian Science,,,,False
religious figure,per,"""Healer""",,,,False
artist-painting,per,Carpaccio,,,,False
painting,misc,Carpaccio's picture,,,,False
religious figure,per,St. Jerome,,,,False
religious figure,per,Mrs. Longyear,,,,False
public figure,per,____ Longyear,,,,False
accomodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Wednesday, Nov. 18, 1903",,,,False
art historian,per,Bernhard,,,,False
artist-painter,per,Ellen Hale,,,,False
cultural heritage institution,loc,the Museum,,,,False
,per,Mrs. Berenson,,,,False
artist-painter,per,Miss Hale,,,,False
city,loc,Cambridge,,,,False
,per,Rachel,,,,False
,per,Mrs. Willard,,,,False
,per,Mrs. West,,,,False
art historian,per,B.B.,,,,False
public figure,per,Ethel Puffer,,,,False
professor,per,Prof. Royce,,,,False
psychologist,per,Prof. Münsterberg,,,,False
scholar,per,Santayana,,,,False
professor,per,Münsterberg,,,,False
cultural heritage instituton,loc,the Germanic Museums,,,,False
art historian,per,B.B.,,,,False
businessman,per,Lippmann,,,,False
cultural ,misc,St. Louis Fair,,,,False
professor,per,Prof. Royce,,,,False
art historian,per,Bertie,,,,False
school,loc,Harvard,,,,False
public figure,per,Miss. Puffer,,,,False
public figure,per,the Longyears [Mr. Longyear],,,,False
religious figure,per,the Longyears [Mrs. Longyear],,,,False
religious,loc,"""Christian Science Temple""",,,,False
cultural ,misc,Experience Meeting,,,,False
,misc,Bible,,,,False
religious figure,per,Mrs. Mary Baker G. Eddy,,partial,Mary,True
religious figure,per,Mrs. Longyear,,,,False
art historian,per,Bernhard,,,,False
religious beliefs / practices,misc,"[Christian Science ""treatment""]",,,,False
scholar,per,Barrett Wendell,,,,False
cultural,misc,"""Wednesday Evening Club""",,,,False
,date,1776,,,,False
scholar,per,Mr. Rhodes,,,,False
accomodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Thursday, Nov. 19, 1903",,,,False
art historian,per,Bernhard,,,,False
religious beliefs / practices,misc,"[Christian Science ""treatment""]",,,,False
psychologist,per,Miss Puffer,,,,False
school,loc,Wellesley,,,,False
lecture,misc,gave a lecture,,,,False
school,loc,Smith,,,,False
public figure,per,Miss Hazard,,,,False
art collector,per,Mrs. Gardner,,,,False
"school, part of",loc,Club House,,,,False
academic,org,the girls who go in to art,,,,False
academic,org,[Wellesley College English Department],,,,False
art historian,per,B.B.,,,,False
,per,the Tylers [Mr. Tyler],,,,False
,per,the Tylers [Mrs. Tyler],,,,False
,per,Mr. Gale,,,,False
,per,his wife,,,,False
architect,per,Mrs. Fox,,,,False
,per,"""brother Charles""",,,,False
accomodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Friday, Nov. 20, 1903",,,,False
scholar,per,Miss Norton,,,,False
art collector,per,Mr. Bullard,,,,False
cultural heritage institution,loc,the Museum,,,,False
scholar,per,Miss Norton,,,,False
art collector,per,Mr. Bullard,,,,False
art historian,per,Bernhard,,,,False
,per,Miss Norton,,,,False
artist-painter,per,Joseph Lyndon Smith,,,,False
cultural,misc,Joseph Lyndon Smith’s exhibition of pictures,,,,False
region,loc,Sicily,,,,False
scholar,per,Miss Norton,,,,False
art historian,per,B.B.,,,,False
,per,a man,,,,False
artist-painter,per,Mr. Smith,,,,False
art historian,per,Bernhard,,,,False
city,loc,Cambridge,,,,False
,per,Mrs. Barrett Wendell,,,,False
,per,Mrs. Rogers,,,,False
,per,Mrs. Endicott Peabody,,,,False
,per,Mrs. Burr,,,,False
,per,Mrs. Parkman,,,,False
,per,Miss Robins,,,,False
scholar,per,Santayana,,,,False
city,loc,Cambridge,,,,False
art historian,per,B.B.,,,,False
,per,Miss Robins,,,,False
scholar,per,the James' [Mr. James],,,,False
,per,the James' [Mrs. James],,,,False
public figure / artist-painter,per,Mr. Denman Ross,,,,False
,per,Mr. Minturn,,,,False
,per,Miss Coombe,,,,False
,per,Mrs. Goodwin,,,,False
scholar,per,Mr. William James,,,,False
public figure / artist-painter,per,Mr. Ross ,,,,False
public figure / artist-painter,per,Mr. Ross ,,,,False
artist-painter,per,Titian,,,,False
painting,misc,Europa,,,,False
artist-painter / curator,per,Veronese,,,,False
painting,misc,"that fake ""Veronese""",,,,False
art historian,per,B.B.,,,,False
religious figure,per,George Fox,,,,False
city,loc,Lichfield,,,,False
city,loc,Boston,exact,,Boston,True
art historian,per,Bernhard,,,,False
religious beliefs / practices,misc,"[Christian Science ""treatment""]",,,,False
religious figure,per,Mrs. Longyear,,,,False
accomodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Saturday, Nov. 21, 1903",,,,False
art historian,per,Bernhard,,,,False
religious beliefs / practices,misc,"[Christian Science ""treatment""]",,,,False
religious figure,per,Mrs. Longyear,,,,False
printer,per,Mr. Updike,,,,False
business,loc,printing establishment,,,,False
art historian,per,B.B.,,,,False
city,loc,Cambridge,,,,False
scholar,per,Miss Norton,,,,False
cultural,misc,football match,,,,False
athletic team,org,Yale,,,,False
athletic team,org,Harvard,,,,False
artist-painter,per,Mrs. Whitman,,partial,Whitman,True
cultural,misc,[Symphony Concert],,,,False
family unit,org,the Perrys,,partial,Perry,False
,per,[Mrs. Perry],,partial,Perry,False
lawyer,per,the Samuel Warrens [Samuel Warren],,,,False
,per,the Samuel Warrens [Mrs. Warren],,,,False
family unit,org,Rogers,,,,False
family unit,org,Grays,,,,False
artist-painter,per,Lyndon Smiths [Lyndon Smith],,,,False
,per,Lyndon Smiths [Mrs. Smith],,,,False
,per,Miss Reed,,,,False
professor,per,Prof. Powers,,,,False
political,org,“Bureau of International Travel”,,,,False
art collector,per,Mrs. Gardner,,,,False
artist-musician,per,Mr. Proctor,,,,False
cultural heritage institution,loc,the Symphony  ,,,,False
family unit,org,the family,,,,False
neighborhood,loc,Savin Hill,,,,False
,per,Rachel,,,,False
scholar,per,Ralph Perry,,partial,Perry,False
art collector,per,Mrs. Gardner,,,,False
,per,B.B.,,,,False
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Sunday, Nov. 22, 1903",,,,False
,per,Bernhard,,,,False
religious beliefs / practices,misc,Christian Science,,,,False
religious,misc,Christian Science meeting,,,,False
city,loc,Cambridge,,,,False
public figure / artist-painter,per,Mr. Denman Ross,,,,False
art described by region,misc,[Chinese art],,,,False
art described by region,misc,Japanese Art,,,,False
art described by region,misc,[Eastern art],,,,False
?,misc,[Denman Waldo Ross' art],,,,False
artist-painter,per,Ingres,,,,False
artist-painter,per,Velasquez,,,,False
artist-painter,per,Manet,,,,False
artist-painter,per,Michelangelo,,,,False
artist-painter,per,Degas,,,,False
art collector,per,Mrs. Gardner,,,,False
art collector,per,Fairfax Murray,,,,False
,per,Mrs. Fletcher,,,,False
,per,Miss Allyn,,,,False
scholar,per,the Moores [Mr. Moore],,,,False
,per,the Moores [Mrs. Moore],,,,False
,per,Thayers [Mr. Thayer],,,,False
,per,Thayers [Mrs. Thayer],,,,False
,per,"Mrs. Sampson, née Ware",,,,False
,per,B.B.,,,,False
,per,Mrs. Toy,,,,False
religious figure,per,Conte Campello,,,,False
newspaper,misc,the Nation,,,,False
art historian,per,Warburg,,,,False
artist-writer,per,Logan,exact,,Logan,False
,per,Aunt Janet,,,,False
,per,Conway Felton,,,,False
city,loc,Santa Barbara,,,,False
religious figure,per,Longyear,,,,False
,per,Old Mrs. Ross,,,,False
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Monday, Nov. 23, 1903",,,,False
,per,Mrs. Tyler,,,,False
architect,per,Mr. Fox,,,,False
,per,Larz Anderson,,,,False
,per,Mr. Anderson,,,,False
,per,B.B.,,,,False
artist-musician,per,Clayton Johns,,,,False
club,loc,Tavern Club,,,,False
,per,Mrs. Peabody,,,,False
,per,Mrs. Kahn,,,,False
,per,B.B.,,,,False
,per,Mrs. Perry,,partial,Perry,False
,per,Mrs. Morss,,,,False
,per,Mr. I. Mackintosh. Bell,,,,False
region,loc,British Columbia,,,,False
body of water,loc,Hudson's Bay,,,,False
ethnic group,org,Indians,,,,False
ethnic group,org,Esquimaux,,,,False
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Tuesday, Nov. 24, 1903",,,,False
city,loc,Cambridge,,,,False
professor,per,Prof. Norton,,,,False
scholar,per,Santayana,,,,False
,per,the daughter Santayana christened “Paradiso”,,,,False
scholar,per,Santayana,,,,False
professor,per,Norton,,,,False
painting,misc,[Bassano paintings],,,,False
artist-painter,per,Bassano,,,,False
artist-painter,per,Tintoretto,,,,False
drawing,misc,[Burne-Jones drawings],,,,False
artist-painter,per,Burne-Jones,,,,False
drawing,misc,[Blake drawing],,,,False
artist-painter / artist-writer,per,Blake,,,,False
scholar,per,Miss Norton,,,,False
public figure / artist-painter,per,Denman Ross,,,,False
club,loc,the Union,,,,False
scholar,per,Santayana,,,,False
,per,the Toys [Mr. Toy],,,,False
,per,the Toys [Mrs. Toy],,,,False
art collector,per,Bullard [Mr. Bullard],,,,False
public figure,per,Mrs. Agassiz,,,,False
art collector,per,Pringsheims [Mr. Pringsheim],,,,False
,per,Pringsheims [Mrs. Pringsheim],,,,False
religious figure,per,Rabbi Fleischer,,,,False
,per,the Wilsons [Mr. Wilson],,,,False
artist-musician,per,the Wilsons [Mrs. Wilson],,,,False
artist-musician,per,Helen,,,,False
,misc,[music by Bach],,partial,Bach,False
artist-composer,per,Bach,exact,,Bach,True
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Wednesday, Nov. 25, 1903",,,,False
art collector,per,Mrs. Gardner,,,,False
artist-painter / artist-sculptor,per,Zorn,,,,False
,per,B. B.,,,,False
art collector,per,Mr. Macomber,,,,False
art described by region,misc,[Italian art],,partial,Italian,True
artist-painter,per,Mrs. Whitman,,partial,Whitman,True
painting,misc,[Sarah Whitman paintings],,partial,Whitman,False
stained glass,misc,[Sarah Whitman stained glass],,partial,Whitman,False
art collector,per,Mr. Templeman Coolidge,,,,False
,per,his wife,,,,False
artist-writer / scholar,per,"the historian, Parkman",,,,False
,per,Senda,,,,False
scholar,per,Mr. Perry,,partial,Perry,False
,per,Mrs. Hooker,,,,False
,per,the Bowlkers [Mr. Bowlker],,,,False
,per,the Bowlkers [Mrs. Bowlker],,,,False
,per,Mrs. Bowlker,,,,False
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
cultural,misc,Thanksgiving,,,,False
,date,"Thursday, Nov. 26, 1903",,,,False
region,loc,New England,,partial,England,False
,per,Senda,,,,False
,per,little Mrs. Berenson,,,,False
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Friday, Nov. 27, 1903",,,,False
public figure / artist-painter,per,Denman ross,,,,False
cultural heritage institution,loc,Museum,,,,False
?,misc,[16 pictures of Rakkan],,,,False
religious figure,per,Rakkan,,,,False
artist-printmaker,per,Dureresque,,,,False
art described by region,misc,[Japanese art],,,,False
art described by region,misc,[Chinese art],,,,False
art historian,per,Mr. Pritchard,,,,False
public figure / artist-painter,per,Mr. Ross,,,,False
,per,Billy Taylor,,,,False
public figure / artist-painter,per,Denman Ross,,,,False
public figure,per,Alfred Burton,,,,False
city,loc,Newton,,,,False
region,loc,North Pole,,,,False
region,loc,Java,,,,False
religious figure,per,a priest,,,,False
historic,misc,solar eclipse,,,,False
public figure,per,Berton,,,,False
public figure,per,Burton,,,,False
,per,Arnold,,,,False
,per,Harold,,,,False
,per,Burton’s sister,,,,False
curator,per,the Robinsons [Mr. Robinson],,,,False
,per,the Robinsons [Mrs. Robinson],,,,False
art historian,per,Dick Norton,,,,False
art collector,per,Mrs. Montgomery Sears,,,,False
art described by region,misc,"""Etruscan” jewelry",,,,False
,per,Mrs. Sears,,,,False
cultural heritage institution,loc,Museum,,,,False
art historian,per,Norton,,,,False
cultural heritage institution,loc,Museum,,,,False
artist-painter,per,Perugino,,,,False
painting,misc,our Perugino,,,,False
curator,per,Robinson,,,,False
,per,his wife,,,,False
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Saturday, Nov. 28, 1903",,,,False
art collector,per,Mrs. Gardner,,,,False
,per,Senda,,,,False
art described by region,misc,[Chinese art],,,,False
art described by region,misc,[Japanese art],,,,False
cultural heritage museum,loc,her beautiful Palace,,,,False
scholar,per,Edward Everett Hale,exact,,Edward Everett Hale,True
,per,a sweet clean wife,,,,False
artist-painter,per,daughter,,,,False
artist-painter,per,Ellen Hale,,,,False
,per,the Fletchers [Mr. Fletcher],,,,False
,per,the Fletchers [Mrs. Fletcher],,,,False
city,loc,Cambridge,,,,False
,per,Mr. Thayer,,,,False
,per,his wife,,,,False
,per,Bessie Ware,,,,False
artist-writer,per,Logan,exact,,Logan,False
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Sunday, Nov. 29, 1903",,,,False
,per,Charles Tyler,,,,False
architect,per,Fox,,,,False
,per,tyler,,,,False
business,org,Pullman,,,,False
city,loc,Newburyport,,,,False
transportation vessel,misc,"""Mr. White""",,,,False
city,loc,Newburyport,,,,False
neighborhood,loc,Hampton Beach,,,,False
city,loc,Hampton  ,,,,False
,per,B. B.,,,,False
,per,Tyler,,,,False
,per,Gertrude Moulton,,,,False
,loc,Union Club,,,,False
,per,Mr. Tyler,,,,False
region,loc,the West,,,,False
criminal,per,a Texan,,,,False
,per,B. B.,,,,False
,per,Billy Taylor,,,,False
,per,Bernhard,,,,False
,per,Ray,,,,False
,per,Bernhard ,,,,False
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Monday, Nov. 30, 1903",,,,False
,per,B. B.,,,,False
cultural heritage institution,loc,Museum,,,,False
,per,Mrs. Rogers,,,,False
philanthropic,org,home for underpaid shop-girls,,,,False
,per,Miss Sarah Gardiner,,,,False
art collector,per,the Bullards [Mr. Bullard],,,,False
,per,the Bullards [Mrs. Bullard],,,,False
art collection,misc,Mr. Bullard's collection,,,,False
print,misc,Whistler etchings and lithographs,,,,False
artist-painter,per,Whistler,,,,False
religious figure,per,Mrs. Longyear,,,,False
,per,Mrs. Perry,,partial,Perry,False
artist-photographer,per,Mr. Dow,,,,False
,per,Bernhard,,,,False
artist-photographer,per,Mr. Dow,,,,False
,per,B. B.,,,,False
artist-illustrator,per,Miss Fanny Alexander,,,,False
art critic,per,Ruskin,,,,False
,per,B.B.,,,,False
cultural,org,Kneisel Quartette,,,,False
city,loc,Cambridge,,,,False
,per,Mrs. Ross,,,,False
,misc,Kruzer Sonata,,,,False
artist-composer,per,Beethoven,,,,False
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Tuesday, Dec. 1, 1903",,,,False
art collector,per,Mrs. Gardner,,,,False
artist-musician,per,Melba,,,,False
cultural heritage institution,loc,Symphony Hall,,,,False
city,loc,Concord,,,,False
art historian,per,Edward Forbes,,,,False
public figure / artist-writer,per,Emerson,,,,False
cultural heritage institution,loc,"""School of Philosophy""",,,,False
academic,org,"""School of Philosophy""",,,,False
historic,loc,Hawthorne’s house,,,,False
artist-writer,per,Hawthorne,,,,False
,per,Miss Emerson,,,,False
historic,loc,Emerson’s study,,,,False
education,loc,Middlesex school,,,,False
city,loc,Concord,,,,False
lawyer,per,tucker Burr,,,,False
medical professional,per,[Mr. Minot],,,,False
,per,Mrs. Minot,,,,False
medical professional,per,[Mr. Thorndyke],,,,False
,per,Mrs. Thorndyke,,,,False
lawyer ,per,[Mr. Warren],,,,False
,per,[Mrs. Sam Warren],,,,False
professor,per,the Barrett Wendells [Mr. Barrett Wendell],,,,False
,per,the Barrett Wendells [Mrs. Barrett Wendell],,,,False
lawyer,per,Tucker,,,,False
lawyer,per,Mr. Burr,,,,False
,per,B. B.,,,,False
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Wednesday, Dec. 2, 1903",,,,False
,per,Bernhard,,,,False
religious beliefs / practices,misc,[Chrisitan Science treatment],,,,False
religious figure,per,Mrs. Longyear,,,,False
,per,Mrs. Tyler,,,,False
,per,B.B.,,,,False
art collector,per,Mr. Bullard,,,,False
artist-writer,per,Mrs. Elliott,,,,False
artist-writer,per,Julia Ward Howe,,,,False
,per,Mrs. Higginson,,,,False
,per,Mrs. Rogers,,,,False
neighborhood,loc,Savin Hill,,,,False
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Thursday, Dec. 3, 1903",,,,False
,per,B. B.,,,,False
city,loc,Cambridge,,,,False
professor,per,Wendell,,,,False
professor,per,Royce,,partial,Josiah Royce,True
scholar,per,Miss Norton,,,,False
lawyer,per,the Sam Warrens [Mr. Warren],,,,False
,per,the Sam Warrens [Mrs. Warren],,,,False
professor,per,Mr. and Mrs. Coolidge [Mr. Coolidge],,,,False
,per,Mr. and Mrs. Coolidge [Mrs. Coolidge],,,,False
art collector,per,Templeman Coolidge,,,,False
curator,per,The Robinsons [Mr. Robinson],,,,False
,per,The Robinsons [Mrs. Robinson],,,,False
